Welder_ID,Safety_Rating,Speed_Rating,SMAW_Proficient,GMAW_Proficient,FCAW_Proficient,GTAW_Proficient,Experience_10_Years
1,3,4,0,1,1,0,1
2,4,1,0,1,1,0,0
3,1,2,1,0,0,1,0
4,4,2,0,1,0,0,0
5,2,3,1,1,1,0,1
6,3,1,1,1,1,0,1
7,1,3,0,0,0,0,0
8,4,2,0,1,0,1,0
9,2,2,0,0,0,0,1
10,1,2,1,1,0,1,1
11,3,1,1,1,1,0,0
12,1,1,0,1,0,1,1
13,3,2,1,0,0,1,1
14,1,3,1,0,1,0,1
15,4,3,1,0,1,1,1
16,2,4,0,0,1,0,1
17,4,2,1,0,1,1,1
18,4,3,0,0,1,1,1
19,3,2,0,1,0,1,0
20,3,3,1,0,0,0,0
21,3,4,0,1,0,1,1
22,4,4,1,0,1,0,1
23,1,2,0,0,0,1,1
24,1,3,0,0,1,1,0
25,4,1,1,1,0,1,0
26,4,4,0,0,0,1,1
27,2,2,0,0,1,1,0
28,3,2,0,1,1,1,1
29,3,3,1,1,0,0,1
30,4,2,1,1,0,0,1
31,4,4,0,1,0,0,1
32,1,2,0,0,0,1,1
33,4,2,0,1,0,0,1
34,1,1,1,0,1,1,1
35,4,1,1,0,1,0,0
36,2,4,0,1,1,0,1
37,2,3,1,0,1,1,0
38,1,1,1,1,0,1,1
39,3,3,1,0,0,0,1
40,2,4,1,1,1,0,0
41,1,1,0,1,0,0,0
42,4,3,1,1,1,0,1
43,4,1,1,1,0,1,0
44,1,4,0,1,0,0,1
45,3,4,0,1,0,1,1
46,1,1,1,0,1,1,0
47,1,3,1,0,1,0,0
48,2,2,0,0,1,1,0
49,1,2,0,1,1,0,0
50,1,1,0,0,0,1,1
51,4,3,1,1,0,1,0
52,2,2,1,0,0,0,0
53,4,4,0,0,0,1,0
54,4,3,1,1,1,1,0
55,3,2,0,0,0,0,0
56,3,3,1,0,0,1,1
57,2,1,0,0,0,1,1
58,2,3,0,1,1,0,0
59,3,2,1,0,1,0,0
60,3,1,1,1,1,1,1
61,3,3,1,0,0,1,0
62,3,4,1,0,1,1,1
63,3,2,1,0,0,0,1
64,4,1,1,0,0,1,0
65,2,3,0,1,0,1,1
66,4,4,1,0,1,1,0
67,4,2,0,1,1,1,0
68,1,4,0,1,0,1,1
69,4,3,1,0,0,1,1
70,3,3,0,0,1,0,0
71,3,1,0,1,1,0,1
72,1,4,1,1,1,1,0
73,1,1,1,0,0,1,1
74,1,2,1,0,0,0,1
75,1,1,0,0,0,0,0
76,1,2,1,0,1,0,0
77,4,3,1,0,1,1,0
78,1,3,1,1,1,1,1
79,4,4,1,0,0,1,0
80,2,2,0,0,0,1,0
81,1,3,1,1,1,0,1
82,1,4,0,0,0,0,1
83,4,4,1,0,1,0,0
84,2,1,0,1,0,0,0
85,4,4,0,0,1,1,0
86,4,3,0,1,0,1,0
87,1,1,1,0,0,0,1
88,3,2,0,0,1,0,1
89,3,2,1,0,1,0,0
90,4,3,1,1,1,0,0
91,1,3,1,1,1,0,0
92,2,1,1,1,1,1,1
93,3,1,1,1,0,1,0
94,2,3,0,0,1,0,0
95,3,3,1,1,1,0,1
96,1,2,0,1,1,0,1
97,4,2,0,1,0,1,0
98,2,2,0,0,1,1,0
99,2,3,0,0,1,1,1
100,4,4,0,1,1,0,0
101,2,3,0,1,0,1,0
102,3,3,0,0,0,0,1
103,4,2,1,1,1,1,1
104,3,3,0,1,0,1,1
105,3,1,1,1,1,1,0
106,1,3,0,1,0,0,1
107,3,3,0,0,1,0,1
108,1,3,0,0,0,1,0
109,2,3,0,0,1,0,0
110,2,4,1,1,1,0,1
111,1,3,1,1,0,0,1
112,3,1,1,0,1,0,0
113,4,1,0,0,1,0,0
114,4,3,0,0,1,0,1
115,1,2,0,1,1,0,1
116,2,4,1,0,0,1,0
117,2,3,0,1,1,0,1
118,4,3,1,1,0,0,0
119,1,3,1,0,0,1,1
120,4,2,0,0,0,1,0
121,3,2,0,1,0,1,0
122,3,2,1,0,1,1,1
123,1,4,1,0,1,0,1
124,1,1,1,1,0,1,0
125,3,4,0,1,1,1,1
126,2,2,0,1,0,0,1
127,1,1,0,1,1,0,1
128,3,1,0,1,1,0,0
129,3,2,0,0,1,1,1
130,2,2,0,1,0,0,1
131,2,4,1,1,0,1,0
132,2,2,1,1,1,0,1
133,2,1,1,0,0,0,1
134,4,3,0,1,0,1,0
135,2,2,1,1,1,0,0
136,4,2,0,1,0,0,1
137,1,4,0,0,1,0,1
138,3,4,1,1,1,0,0
139,4,2,0,1,1,0,0
140,1,1,1,1,0,1,1
141,1,1,1,0,1,1,1
142,4,3,0,0,1,0,1
143,1,2,1,0,0,1,0
144,1,4,1,0,0,1,1
